"point_id","x","y","total_1860","total_1830","slaves_1830","total_1790","slaves_1790","slaves_1860","free_blacks_1860","total_1970","black_1970","total_1910","black_1910","total_2010","black_2010","jail_2010","jail_black_2010"
3492,1923365,727585,14682.063,12113.000,1.000,10439.000,46.000,"",166.403,138690.203,943.338,25098.102,153.825,183130.594,15839.279,558.585,659.971
12336,1312662,-926403,145.944,42.000,11.000,"","",24.324,"",20363.369,1120.154,2238.498,811.268,185964.594,6133.885,888.755,92.735
2970,625621,803923,4912.389,14.000,"","","","",7.729,129388.273,85.194,23023.604,26.040,182406.484,5835.841,741.767,242.656
12206,-264988,-875511,668.353,"","","","",85.037,0.210,7434.018,15.056,3900.278,150.688,172110.703,10092.049,615.181,87.553
3491,1897919,727585,20861.182,14514.000,"",12334.000,72.000,"",199.253,167296.031,25738.676,50567.836,386.777,184674.312,47809.230,567.338,1991.357
10970,905526,-519267,14635.113,3137.000,1590.000,"","",8247.114,98.563,147334.531,54349.387,50324.262,27843.234,187234.750,89077.750,667.619,435.308
12155,91256,-850065,600.165,"","","","",150.151,0.316,57793.586,5283.659,4725.920,938.935,176320.281,29574.896,578.708,288.198
12616,-239542,-1257200,64.594,"","","","",0.054,1.842,28114.074,42.496,758.689,3.426,181435.719,1115.112,420.042,128.399
3794,1007310,676693,10589.246,153.000,"","","","",44.790,180789.234,26339.609,49053.422,413.748,188849.391,31278.645,416.899,199.346
9668,854634,-264808,10652.629,8553.000,4271.000,"","",5569.099,117.914,145321.906,20999.342,19739.912,8103.043,183111.594,62024.633,756.471,587.888
4115,1007310,625801,9585.531,406.000,"","","","",77.468,65912.984,1404.351,11929.061,76.626,182601.016,6216.507,358.756,37.174
11960,1312662,-773727,1542.035,50.000,14.000,"","",834.894,1.499,80130.398,13636.555,6426.086,3576.354,184804.078,43035.309,904.856,755.980
12186,1439892,-850065,164.010,32.000,29.000,"","",38.003,0.045,37599.090,10350.604,2951.699,1184.065,189277.219,31817.395,741.516,391.083
5111,1618013,473125,17545.900,11208.000,8.000,5656.000,64.000,"",238.164,113321.000,2092.112,53905.832,2029.701,187099.094,15562.956,1134.956,332.713
12344,1516229,-926403,3.099,12.000,11.000,"","",0.264,0.013,78697.148,5854.202,415.363,123.191,187946.031,20241.488,784.393,318.546
2991,1592567,803923,17663.816,14157.000,"",342.000,7.000,"",67.293,160066.203,792.287,18874.863,73.006,190848.469,10054.804,549.018,74.187
6552,1007310,244112,20470.672,11946.000,12.000,2.000,"",1.739,459.775,90102.766,737.774,23422.984,848.580,188461.562,3680.381,503.877,42.000
3496,2025149,727585,19689.564,17465.000,2.000,10600.000,270.000,"",389.679,178660.281,946.302,152988.188,756.517,191963.609,6505.496,771.333,146.768
12437,1541675,-1002740,8.131,30.000,27.000,"","",0.694,0.033,21507.174,6640.503,701.863,148.984,183012.719,42713.270,1308.870,709.143
9409,1643459,-213916,11574.804,5115.000,2569.000,902.000,483.000,4790.267,616.015,74562.836,18150.607,31003.885,14587.628,184831.531,30973.129,626.175,420.577
12599,1567121,-1206308,4.497,12.000,1.000,"","",0.108,0.054,55875.086,13304.901,687.454,205.960,179381.234,44214.000,606.237,326.131
8930,854634,-137578,11771.523,10743.000,3558.000,365.000,67.000,5457.793,80.694,23637.102,2837.732,13276.683,4531.991,182617.906,24502.732,859.292,249.933
9121,-1918975,-188470,64.371,"","","","","",0.160,30551.855,249.216,1162.340,17.175,183337.156,21324.410,468.770,143.897
7173,523837,142328,12815.979,2431.000,26.000,"","","",192.928,148534.859,2415.731,39670.336,2350.088,196165.984,38506.559,380.353,230.918
7231,-2046205,116882,79.372,"","","","","",0.394,69443.898,1057.316,1831.082,9.817,193836.578,5291.161,985.388,62.319
5065,447499,473125,19358.525,7.000,"","","","",32.855,191235.562,8976.521,54066.188,600.550,193539.531,20720.035,478.867,290.657
4427,854634,574909,10617.784,46.000,"","","","",137.429,165310.656,9011.386,26032.848,340.344,194306.609,28689.410,357.991,198.491
3160,1796135,778477,83785.695,38088.000,1.000,9236.000,828.000,"",817.446,182566.000,13979.250,137835.875,1219.265,196725.328,35510.473,494.436,446.116
9959,1032756,-315700,7900.807,1539.000,254.000,"","",1748.506,11.408,23355.951,1818.740,13501.112,2799.024,197879.969,29200.777,1014.502,388.307
9720,-1486394,-290254,22.658,"","","","","",0.024,3216.609,3.008,934.672,12.710,193746.453,5330.455,614.118,45.794
3980,1847027,651247,29423.945,16946.000,3.000,12674.000,452.000,"",596.913,85535.312,1671.072,56357.145,1518.077,195480.562,9260.387,511.648,339.730
10101,1109094,-341146,7441.218,4967.000,1376.000,2.000,"",2588.280,11.291,20709.395,3432.596,16435.602,5207.720,192655.047,57323.367,1142.949,646.560
5940,-2224327,320449,2969.660,"","","","","",18.250,66436.328,820.464,80958.234,1192.110,193443.391,8354.928,680.765,115.791
6229,1007310,295003,16560.268,11889.000,"","","","",415.806,112908.102,274.216,18273.209,812.118,200103.609,10500.730,408.038,57.399
11185,549283,-570159,8677.425,1214.000,375.000,"","",4555.466,15.588,176109.469,65138.980,30238.254,16801.270,202908.344,115730.852,1081.176,870.227
9383,981864,-213916,6023.229,420.000,24.000,"","",654.508,76.085,123022.938,11209.625,15329.717,2330.713,197749.344,44407.328,1142.583,723.633
6061,854634,320449,10589.170,1496.000,"","","","",132.821,49192.066,1277.119,20904.113,348.210,197094.391,22916.746,520.373,172.005
2583,-1639070,854815,1.789,"","","","","",0.004,23231.746,26.245,5419.292,16.523,191692.391,2203.206,531.212,24.584
7216,1618013,142328,11578.204,9827.000,5279.000,7352.000,3885.000,4860.956,435.758,88490.133,9298.629,12543.479,4319.069,200382.469,68509.133,1242.056,778.353
3820,1872473,676693,26979.912,12949.000,1.000,10311.000,95.000,"",331.679,178209.703,11821.627,111782.852,1179.848,204140.031,24392.908,622.668,1016.372
4141,1872473,625801,8778.987,6356.000,1.000,4907.000,108.000,"",171.497,198302.734,15946.900,15864.388,248.716,201744.094,24659.418,615.360,1027.477
4105,651067,625801,12556.568,13.000,"","","","",25.528,140286.797,353.225,30699.664,10.262,202404.844,6787.284,871.844,88.582
10857,1032756,-493821,17246.516,1942.000,756.000,"","",7844.393,166.780,161967.453,45285.414,35376.848,16709.939,200599.078,87764.406,2411.490,1095.641
10354,854634,-392037,2793.655,1808.000,443.000,"","",630.459,4.522,224539.000,71353.547,153394.641,60764.527,205091.219,103596.625,629.794,537.097
12502,-137758,-1079078,160.562,"","","","",15.662,0.039,189001.062,9532.134,9274.234,453.059,204909.781,10612.479,785.491,119.743
10641,-1410056,-468375,78.681,"","","","","",0.255,55016.543,2005.493,620.788,8.026,204977.609,7749.150,470.116,42.822
3125,600175,778477,6117.749,14.000,"","","","",9.419,132933.391,54.969,20191.979,21.565,205149.109,3775.064,605.082,165.469
6223,854634,295003,11772.475,3019.000,"","","","",105.274,117018.203,785.828,16795.611,435.136,205118.281,50045.977,792.385,237.208
